phase,bench,cl,ch,al,am,ah,wi,wp,wf,wg,area,delay,acc,rej,nodes
P1,hyp,0.15,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,156097.8,374985.72,4,17,214328
P1,hyp,0.15,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,156163.2,374984.44,2,17,214330
P1,hyp,0.25,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,156138.7,375202.12,1,18,214330
P1,hyp,0.25,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,156136.9,375202.12,3,17,214328
P1,hyp,0.25,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,156228.0,375852.62,6,14,214328
P1,hyp,0.25,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,156130.5,375197.28,2,17,214329
P1,hyp,0.25,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,156158.9,374985.09,2,17,214330
P1,hyp,0.25,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,156098.0,374985.72,3,15,214329
P1,hyp,0.25,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,156098.0,374985.72,3,16,214329
P1,hyp,0.25,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,156164.7,374984.44,1,17,214331
P1,log2,0.15,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,19745.6,6190.35,5,75,31398
P1,log2,0.15,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,19820.0,6363.85,11,80,32058
P1,log2,0.15,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,19811.9,6359.40,11,82,32039
P1,log2,0.15,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,19838.0,6363.85,10,81,32053
P1,log2,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,19549.4,6285.76,19,108,31281
P1,log2,0.15,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,19717.9,6367.20,18,76,32009
P1,log2,0.15,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,19717.9,6367.20,18,76,32009
P1,log2,0.15,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,19651.4,6291.75,14,108,31489
P1,log2,0.25,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,19745.6,6190.35,5,76,31398
P1,log2,0.25,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,19820.3,6378.41,14,77,32060
P1,log2,0.25,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,19774.8,6359.88,12,83,32034
P1,log2,0.25,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,19836.3,6363.40,14,77,32060
P1,log2,0.25,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,19542.3,6285.76,22,127,31280
P1,log2,0.25,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,19720.1,6367.20,20,75,32014
P1,log2,0.25,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,19705.7,6362.75,19,78,32014
P1,log2,0.25,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,19642.9,6291.75,21,126,31485
P1,max,0.15,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,1919.6,4335.14,42,298,2827
P1,max,0.15,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,1960.1,4434.24,40,287,2842
P1,max,0.15,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,1976.7,4103.57,32,291,2847
P1,max,0.15,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,1934.0,4213.04,46,354,2834
P1,max,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,1893.7,4208.77,66,368,2826
P1,max,0.15,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,1983.4,4035.59,19,311,2858
P1,max,0.15,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,1978.6,4100.83,24,303,2852
P1,max,0.15,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,2005.0,4127.55,33,307,2851
P1,max,0.25,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,1930.7,4370.46,43,311,2826
P1,max,0.25,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,1952.6,4293.51,38,414,2847
P1,max,0.25,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,1974.0,4025.56,31,292,2854
P1,max,0.25,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,1930.5,4191.41,50,327,2830
P1,max,0.25,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,1904.4,3985.03,66,339,2841
P1,max,0.25,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,1971.2,4084.95,25,307,2852
P1,max,0.25,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,1971.4,4090.38,24,307,2854
