part,pot,criticality,slack_potential,struct_potential,fanout,window_size,prior,model_prob,accepted,area_impr_pct,delay_delta,node
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,3.063647,5.320007,n344
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,2.960018,5.320007,n396
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.556318,10.890015,n402
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.565249,0.940002,n408
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,3.404680,6.720001,n423
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.847873,0.760010,n530
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,5.358556,6.400024,n532
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,3.218148,3.560028,n533
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-0.250594,0.000000,n534
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.904398,0.940002,n539
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,4.052832,6.299988,n540
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.752270,5.029999,n558
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.604816,0.869995,n559
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.006142,0.760010,n560
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-1.100350,0.000000,n574
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,6.200776,7.430023,n575
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-0.101745,0.529999,n578
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,3.911520,6.399994,n584
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.199721,0.779999,n588
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,5.716547,9.179993,n589
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,4.668953,3.950012,n590
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,0.237404,2.500000,n591
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,2.852621,7.160004,n592
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,3.348155,7.750000,n598
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.096582,0.090027,n599
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,2.396654,3.560028,n600
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,1.974601,9.850006,n606
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,2.351434,9.179993,n607
0,0.316909,0.800000,0.200000,0.784543,1,16,0.500000,0.193426,0,-4.391981,1.140015,n613
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,-1.009911,0.000000,n45
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,1,-1.757923,-0.169983,n54
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,9.854278,26.540009,n65
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,2.405244,1.979980,n69
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,1,0.048142,0.000000,n86
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,-0.392731,0.000000,n112
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,8.388137,13.599976,n198
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,3.025138,8.559998,n199
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,2.317482,1.979980,n217
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,-0.333451,0.880005,n280
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,1,0.440896,0.000000,n329
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,1,-1.520198,-0.420013,n399
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,4.572947,4.130005,n472
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,2.864736,4.130005,n536
0,0.313786,0.800000,0.200000,0.768931,2,16,0.500000,0.186669,0,6.818182,11.029999,n571
0,0.280000,0.900000,0.100000,1.000000,1,16,0.500000,0.174685,0,-1.165689,0.000000,n288
0,0.280000,0.900000,0.100000,1.000000,1,16,0.500000,0.174685,1,0.000000,0.000000,n364
0,0.280000,0.900000,0.100000,1.000000,1,16,0.500000,0.174685,0,1.854839,1.350006,n496
0,0.280000,0.900000,0.100000,1.000000,1,16,0.500000,0.174685,0,2.181085,0.630005,n541
0,0.280000,0.900000,0.100000,1.000000,1,16,0.500000,0.174685,0,0.000000,0.000000,n655
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,2.445015,4.829987,n118
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,-0.394062,4.829987,n119
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,0.478372,1.300018,n120
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,2.708944,3.360016,n127
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,4.919355,7.309998,n129
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,1,1.024560,0.000000,n138
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,-2.262921,0.000000,n224
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,1,0.000000,0.000000,n275
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,2.659210,5.910004,n380
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,-0.149997,1.429993,n381
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,-0.837022,0.000000,n497
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,5.372123,9.140015,n542
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,3.225866,5.619995,n552
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,3.922150,4.520020,n561
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,5.792485,5.760010,n562
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,3.333272,5.760010,n563
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,5.305457,7.750000,n583
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,1,0.000000,0.000000,n653
0,0.236909,0.900000,0.100000,0.784543,1,16,0.500000,0.171956,0,0.000000,0.000000,n656
1,0.940000,0.200000,0.800000,1.000000,1,16,0.500000,0.383645,0,0.000000,0.000000,n427
1,0.910000,0.300000,0.700000,1.000000,1,16,0.500000,0.363323,0,-0.246292,0.000000,n412
1,0.910000,0.300000,0.700000,1.000000,1,16,0.500000,0.363323,0,0.000000,0.000000,n580
1,0.910000,0.300000,0.700000,1.000000,1,16,0.500000,0.363323,1,1.622192,0.630005,n615
1,0.880000,0.400000,0.600000,1.000000,1,16,0.500000,0.343477,0,0.000000,0.000000,n307
1,0.880000,0.400000,0.600000,1.000000,1,16,0.500000,0.343477,0,0.000000,0.000000,n331
1,0.880000,0.400000,0.600000,1.000000,1,16,0.500000,0.343477,0,0.000000,0.000000,n485
1,0.880000,0.400000,0.600000,1.000000,1,16,0.500000,0.343477,0,-0.256000,0.000000,n608
1,0.819180,0.100000,0.900000,0.784543,1,16,0.500000,0.373364,0,0.000000,0.000000,n165
1,0.819180,0.100000,0.900000,0.784543,1,16,0.500000,0.373364,0,-0.199529,0.000000,n538
1,0.789180,0.200000,0.800000,0.784543,1,16,0.500000,0.353274,1,0.045176,0.000000,n444
1,0.789180,0.200000,0.800000,0.784543,1,16,0.500000,0.353274,0,-0.201503,0.000000,n475
1,0.789180,0.200000,0.800000,0.784543,1,16,0.500000,0.353274,0,-0.252349,0.000000,n531
1,0.789180,0.200000,0.800000,0.784543,1,16,0.500000,0.353274,0,0.000000,0.000000,n548
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,0,0.000000,0.000000,n211
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,0,0.000000,0.000000,n238
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,0,0.000000,0.000000,n404
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,1,1.001864,1.610016,n405
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,0,0.000000,0.000000,n428
1,0.759180,0.300000,0.700000,0.784543,1,16,0.500000,0.333690,1,3.484944,4.719971,n430
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,-0.987445,0.529999,n78
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,-0.839624,0.000000,n157
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,0.000000,0.000000,n291
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,-0.731222,0.000000,n319
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,0.000000,0.000000,n394
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,1.988687,1.429993,n438
2,0.750000,0.500000,0.500000,1.000000,1,16,0.500000,0.197456,0,-0.313381,0.000000,n648
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,-0.425725,0.000000,n38
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,-0.203008,-2.299988,n202
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,1,0.102489,0.000000,n312
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,1,0.007892,0.000000,n435
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,1.833034,5.440002,n449
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,0.000000,0.000000,n455
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,0,-1.793572,0.000000,n462
2,0.700000,0.600000,0.400000,1.000000,1,16,0.500000,0.181602,1,1.209526,0.000000,n527
