part,pot,criticality,slack_potential,struct_potential,fanout,window_size,prior,model_prob,accepted,goal_hit,area_impr_pct,delay_delta,node
2,0.727273,0.545455,0.454545,1.000000,1,16,0.500000,0.500000,0,0,-0.007303,0.000000,n4060
2,0.727273,0.545455,0.454545,1.000000,1,16,0.500000,0.500000,1,1,0.116549,0.000000,n4089
2,0.727273,0.545455,0.454545,1.000000,1,16,0.500000,0.500000,0,0,-0.077205,0.000000,n4101
2,0.727273,0.545455,0.454545,1.000000,1,16,0.500000,0.500000,0,0,-0.194476,0.000000,n4473
2,0.727273,0.545455,0.454545,1.000000,1,16,0.500000,0.500000,1,1,0.007604,0.000000,n4509
2,0.727273,0.545455,0.454545,1.000000,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n4615
2,0.727273,0.545455,0.454545,1.000000,1,16,0.500000,0.500000,1,1,0.039776,0.000000,n4630
2,0.727273,0.545455,0.454545,1.000000,1,16,0.500000,0.500000,1,1,0.007900,0.000000,n4722
2,0.727273,0.545455,0.454545,1.000000,1,16,0.500000,0.500000,1,1,0.024286,0.000000,n4805
2,0.727273,0.545455,0.454545,1.000000,1,16,0.500000,0.500000,1,1,0.024000,0.000000,n4817
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,1,1,0.022542,0.000000,n202
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.061491,0.000000,n265
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,0.515352,2.889984,n476
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.007613,0.000000,n867
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.031331,0.000000,n952
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.161633,2.239990,n1020
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.039823,0.000000,n1114
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.148749,0.260010,n1264
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.094872,0.000000,n1509
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.156363,0.000000,n1535
