[step1] run SMABC method reproduction and export optimized verilog
[build] g++ -O3 -std=c++17 -o reproduce_paper_full reproduce_paper_full.cpp
[run] RUNS=20 NP=100 GENERATIONS=50 VERIFY_METHOD=0 BENCH_FILTER=<all>
[export] verilog dir: /mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/SMABC_FPRM_Reproduce/smabc_opt_paper (algo=SMABC)
[bench] br1 n=12 on_set=2
  run 18 | PSO=12 GA=12 ABC=12 SMABC=12
  run 19 | PSO=12 GA=12 ABC=12 SMABC=12
  run 20 | PSO=12 GA=12 ABC=12 SMABC=12
[bench] in2 n=19 on_set=3
  run  1 | PSO=53 GA=35 ABC=35 SMABC=35
  run  2 | PSO=35 GA=35 ABC=35 SMABC=35
  run  3 | PSO=53 GA=35 ABC=35 SMABC=35
  run  4 | PSO=54 GA=35 ABC=35 SMABC=35
  run  5 | PSO=35 GA=35 ABC=35 SMABC=35
  run  6 | PSO=35 GA=35 ABC=35 SMABC=35
  run  7 | PSO=35 GA=35 ABC=35 SMABC=35
  run  8 | PSO=35 GA=35 ABC=35 SMABC=35
  run  9 | PSO=35 GA=35 ABC=35 SMABC=35
  run 10 | PSO=69 GA=35 ABC=35 SMABC=35
  run 11 | PSO=35 GA=35 ABC=35 SMABC=35
  run 12 | PSO=69 GA=35 ABC=35 SMABC=35
  run 13 | PSO=69 GA=35 ABC=35 SMABC=35
  run 14 | PSO=69 GA=35 ABC=35 SMABC=35
  run 15 | PSO=35 GA=35 ABC=35 SMABC=35
  run 16 | PSO=35 GA=35 ABC=35 SMABC=35
  run 17 | PSO=35 GA=35 ABC=35 SMABC=35
  run 18 | PSO=35 GA=35 ABC=35 SMABC=35
  run 19 | PSO=53 GA=35 ABC=35 SMABC=35
  run 20 | PSO=35 GA=35 ABC=35 SMABC=35
[bench] misex3 n=14 on_set=1
  run  1 | PSO=13 GA=13 ABC=13 SMABC=13
  run  2 | PSO=13 GA=13 ABC=13 SMABC=13
  run  3 | PSO=13 GA=13 ABC=13 SMABC=13
  run  4 | PSO=13 GA=13 ABC=13 SMABC=13
  run  5 | PSO=13 GA=13 ABC=13 SMABC=13
  run  6 | PSO=13 GA=13 ABC=13 SMABC=13
  run  7 | PSO=13 GA=13 ABC=13 SMABC=13
  run  8 | PSO=13 GA=13 ABC=13 SMABC=13
  run  9 | PSO=13 GA=13 ABC=13 SMABC=13
  run 10 | PSO=13 GA=13 ABC=13 SMABC=13
  run 11 | PSO=13 GA=13 ABC=13 SMABC=13
  run 12 | PSO=13 GA=13 ABC=13 SMABC=13
  run 13 | PSO=13 GA=13 ABC=13 SMABC=13
  run 14 | PSO=13 GA=13 ABC=13 SMABC=13
  run 15 | PSO=13 GA=13 ABC=13 SMABC=13
  run 16 | PSO=13 GA=13 ABC=13 SMABC=13
  run 17 | PSO=13 GA=13 ABC=13 SMABC=13
  run 18 | PSO=13 GA=13 ABC=13 SMABC=13
  run 19 | PSO=13 GA=13 ABC=13 SMABC=13
  run 20 | PSO=13 GA=13 ABC=13 SMABC=13
[bench] rd84 n=8 on_set=8
  run  1 | PSO=14 GA=14 ABC=14 SMABC=14
  run  2 | PSO=14 GA=14 ABC=14 SMABC=14
  run  3 | PSO=14 GA=14 ABC=14 SMABC=14
  run  4 | PSO=14 GA=14 ABC=14 SMABC=14
  run  5 | PSO=14 GA=14 ABC=14 SMABC=14
  run  6 | PSO=14 GA=14 ABC=14 SMABC=14
  run  7 | PSO=14 GA=14 ABC=14 SMABC=14
  run  8 | PSO=14 GA=14 ABC=14 SMABC=14
  run  9 | PSO=14 GA=14 ABC=14 SMABC=14
  run 10 | PSO=14 GA=14 ABC=14 SMABC=14
  run 11 | PSO=14 GA=14 ABC=14 SMABC=14
  run 12 | PSO=14 GA=14 ABC=14 SMABC=14
  run 13 | PSO=14 GA=14 ABC=14 SMABC=14
  run 14 | PSO=14 GA=14 ABC=14 SMABC=14
  run 15 | PSO=14 GA=14 ABC=14 SMABC=14
  run 16 | PSO=14 GA=14 ABC=14 SMABC=14
  run 17 | PSO=14 GA=14 ABC=14 SMABC=14
  run 18 | PSO=14 GA=14 ABC=14 SMABC=14
  run 19 | PSO=14 GA=14 ABC=14 SMABC=14
  run 20 | PSO=14 GA=14 ABC=14 SMABC=14
[bench] t2 n=17 on_set=2
  run  1 | PSO=15 GA=15 ABC=15 SMABC=15
  run  2 | PSO=30 GA=15 ABC=15 SMABC=15
  run  3 | PSO=15 GA=15 ABC=15 SMABC=15
  run  4 | PSO=15 GA=15 ABC=15 SMABC=15
  run  5 | PSO=15 GA=15 ABC=15 SMABC=15
  run  6 | PSO=15 GA=15 ABC=15 SMABC=15
  run  7 | PSO=30 GA=15 ABC=15 SMABC=15
  run  8 | PSO=15 GA=15 ABC=15 SMABC=15
  run  9 | PSO=15 GA=15 ABC=15 SMABC=15
  run 10 | PSO=15 GA=15 ABC=15 SMABC=15
  run 11 | PSO=15 GA=15 ABC=15 SMABC=15
  run 12 | PSO=15 GA=15 ABC=15 SMABC=15
  run 13 | PSO=15 GA=15 ABC=15 SMABC=15
  run 14 | PSO=15 GA=15 ABC=15 SMABC=15
  run 15 | PSO=15 GA=15 ABC=15 SMABC=15
  run 16 | PSO=15 GA=15 ABC=15 SMABC=15
  run 17 | PSO=15 GA=15 ABC=15 SMABC=15
  run 18 | PSO=15 GA=15 ABC=15 SMABC=15
  run 19 | PSO=15 GA=15 ABC=15 SMABC=15
  run 20 | PSO=15 GA=15 ABC=15 SMABC=15
[bench] table3 n=14 on_set=3
  run  1 | PSO=25 GA=25 ABC=25 SMABC=25
  run  2 | PSO=25 GA=25 ABC=25 SMABC=25
  run  3 | PSO=25 GA=25 ABC=25 SMABC=25
  run  4 | PSO=25 GA=25 ABC=25 SMABC=25
  run  5 | PSO=25 GA=25 ABC=25 SMABC=25
  run  6 | PSO=25 GA=25 ABC=25 SMABC=25
  run  7 | PSO=25 GA=25 ABC=25 SMABC=25
  run  8 | PSO=25 GA=25 ABC=25 SMABC=25
  run  9 | PSO=25 GA=25 ABC=25 SMABC=25
  run 10 | PSO=25 GA=25 ABC=25 SMABC=25
  run 11 | PSO=25 GA=25 ABC=25 SMABC=25
  run 12 | PSO=25 GA=25 ABC=25 SMABC=25
  run 13 | PSO=25 GA=25 ABC=25 SMABC=25
  run 14 | PSO=25 GA=25 ABC=25 SMABC=25
  run 15 | PSO=25 GA=25 ABC=25 SMABC=25
  run 16 | PSO=25 GA=25 ABC=25 SMABC=25
  run 17 | PSO=25 GA=25 ABC=25 SMABC=25
  run 18 | PSO=25 GA=25 ABC=25 SMABC=25
  run 19 | PSO=25 GA=25 ABC=25 SMABC=25
  run 20 | PSO=25 GA=25 ABC=25 SMABC=25
[bench] table5 n=17 on_set=2
  run  1 | PSO=31 GA=31 ABC=31 SMABC=31
  run  2 | PSO=31 GA=31 ABC=31 SMABC=31
  run  3 | PSO=31 GA=31 ABC=31 SMABC=31
